[0x00001eec] | DtManager            | INFO  | 2023-05-17 09:46:10,630 | Dt Worker Thread Started
[0x00001f5c] | DtManager            | INFO  | 2023-05-17 09:46:10,630 | Dt Worker Thread Started
[0x00007a50] | DtManager            | INFO  | 2023-05-17 09:46:10,630 | Dt Worker Thread Started
[0x000009c4] | DtManager            | INFO  | 2023-05-17 09:46:10,630 | Dt Worker Thread Started
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:10,633 | Show splash screen message: Initializing system components
[0x00001190] | GPU.MultiBoardMgr    | INFO  | 2023-05-17 09:46:10,635 | Let There Be CUDA Light!
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:10,639 | Show splash screen message: Loading video codecs
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:10,644 | Show splash screen message: Loading video plugins
[0x00004fe8] | UI.GLContext         | INFO  | 2023-05-17 09:46:10,680 | Creating shared OpenGL context for this thread (1 total).
[0x00004fe8] | UI.GLContext         | INFO  | 2023-05-17 09:46:10,708 | Initialized OpenGL 4.6 (requested 2.0) on device 'NVIDIA Corporation NVIDIA GeForce RTX 2060 SUPER/PCIe/SSE2'
[0x00004fe8] | Main                 | INFO  | 2023-05-17 09:46:10,708 | Show splash screen message: Loading Fairlight Engine
[0x00001190] | GPU.MultiBoardMgr    | INFO  | 2023-05-17 09:46:10,708 | Initializing CUDA board manager for Main Display GPU gpu:a24a3d50.83f1fdb7.
[0x00001968] | IO                   | INFO  | 2023-05-17 09:46:10,788 | IO codec initialization completed in 143 ms.
[0x000065b4] | GPU.SingleBoardMgr   | INFO  | 2023-05-17 09:46:10,811 | Board manager thread for "NVIDIA GeForce RTX 2060 SUPER" (gpu:a24a3d50.83f1fdb7) is ready.
[0x00001190] | UI.GLInterop         | INFO  | 2023-05-17 09:46:10,811 | OpenGL interop was initialized.
[0x00001190] | UI.GLInterop         | INFO  | 2023-05-17 09:46:10,811 | OpenGL interop was initialized.
[0x00001190] | GPU.MultiBoardMgr    | INFO  | 2023-05-17 09:46:10,811 | Enabled CUDA pinned memory.
[0x000038ec] | Fairlight            | INFO  | 2023-05-17 09:46:11,011 | 00.00.00.122(003): WASAPI: Scanning Speakers (Steam Streaming Microphone) for formats
[0x000038ec] | Fairlight            | INFO  | 2023-05-17 09:46:11,011 | 00.00.00.128(000): WASAPI: Device: Speakers (Steam Streaming Microphone). Scan time 6. Formats = 1 15 formats scanned
[0x000038ec] | Fairlight            | INFO  | 2023-05-17 09:46:11,011 | 00.00.00.128(000): WASAPI: Scanning Speakers (High Definition Audio Device) for formats
[0x000038ec] | Fairlight            | INFO  | 2023-05-17 09:46:11,011 | 00.00.00.190(000): WASAPI: Device: Speakers (High Definition Audio Device). Scan time 61. Formats = 1 15 formats scanned
[0x000038ec] | Fairlight            | INFO  | 2023-05-17 09:46:11,011 | 00.00.00.190(000): WASAPI: Scanning Mi 27 NU (NVIDIA High Definition Audio) for formats
[0x000038ec] | Fairlight            | INFO  | 2023-05-17 09:46:11,011 | 00.00.00.236(000): WASAPI: Device: Mi 27 NU (NVIDIA High Definition Audio). Scan time 45. Formats = 1 15 formats scanned
[0x000038ec] | Fairlight            | INFO  | 2023-05-17 09:46:11,011 | 00.00.00.236(000): WASAPI: Scanning Speakers (Steam Streaming Speakers) for formats
[0x000038ec] | Fairlight            | INFO  | 2023-05-17 09:46:11,011 | 00.00.00.242(000): WASAPI: Device: Speakers (Steam Streaming Speakers). Scan time 6. Formats = 1 15 formats scanned
